Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,17015000,19102000,19858000,20039000,20246000,20450000,20653000,20869000,20328000,20483000,20639000,..
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,40833,45544,49818,50465,51093,51717,52352,52998,53650,54301,54944,..
"Population, total",SP.POP.TOTL,St. Lucia,LCA,138180,156949,167656,170146,172729,175196,177397,179278,180890,182305,183645,..
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,30036,28384,28414,28905,29376,29820,30235,30615,30959,31264,31530,..
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,107509,107897,108908,109049,109165,109255,109316,109341,109334,109327,109360,..
"Population, total",SP.POP.TOTL,Sudan,SDN,20008804,28079664,32809056,33637960,34470138,35297298,36114885,36918193,37712420,38515095,39350274,..
"Population, total",SP.POP.TOTL,Suriname,SUR,408276,480751,495953,500953,506657,512522,518141,523439,528535,533450,538248,..
"Population, total",SP.POP.TOTL,Swaziland,SWZ,862728,1063715,1118204,1134853,1153750,1173529,1193148,1212458,1231694,1250641,1269112,..
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8872109,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9689555,..
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,7184250,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8190229,..
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,12451539,16354050,18728200,19425597,20097057,20566871,20720602,21070917,21427155,21789415,22157800,..
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5297286,6186152,6949566,7099021,7254072,7414960,7581696,7753925,7930929,8111894,8295840,..
"Population, total",SP.POP.TOTL,Tanzania,TZA,25458208,33991590,40260847,41522004,42844744,44222113,45648525,47122998,48645709,50213457,51822621,..
